Full Name,Faculty,Research Interests
Avni Zafer Acar,School of Applied Sciences,"['strategic management', 'business capabilities', 'organizational culture', 'leadership', 'competitive strategies', 'logistics strategies', 'supply chain management', 'logistics management']"
Serhan Ada,Faculty of Communication,"['cultural industries creative economy', 'art criticism philosophy art', 'cultural policy', 'cultural diplomacy']"
İbrahim Başar Aka,Faculty of Engineering and Natural Sciences,"['biomechanics', 'centrifugal blood pump', 'biomedical instrumentation', 'pediatric ventricular assist device', 'biomedical sciences technologies']"
Asaf Savaş Akat,Faculty of Business,"['macroeconomics', 'monetary policy', 'growth', 'inflation']"
Koray Akay,School of Advanced Vocational Studies,"['macroeconomics', 'economic history', 'development']"
Galma Akdeniz,Faculty of Law,"['restorative justice', 'justice theory', 'law society', 'criminology', 'penal policy', 'criminal justice', 'victimization harm', 'victimology', 'crime justice statistics', 'prisons', 'homicide femicide']"
Yaman Akdeniz,Faculty of Law,"['human rights', 'information technology law', 'public law']"
Ahmet Tamer Aker,Vocational School of Health Services,"['schizophrenia', 'mental health', 'immigration']"
Alpay Akgüç,Faculty of Architecture,"['green building certification systems', 'water efficiency', 'energy sustainability', 'passive system design', 'renewable energy', 'nzeb', '2030 sustainable development goals', 'hvac systems', 'waste heat energy', 'performance simulation', 'building energy performance']"
L. Hilal Akgül,Faculty of Social Sciences and Humanities,"['political life institutions türkiye', 'history turkish economy', 'history republic türkiye', ' history political parties türkiye']"
Fulya Akipek,Faculty of Architecture,"['ecological design', 'design with natural materials architecture', 'sustainable cities', 'soil architecture', 'biomaterials', 'performance based design', 'digital design production']"
Başak Akkan,Faculty of Social Sciences and Humanities,"['child wellbeing', 'disabled care)', 'elderly care', 'intersectional inequalities', 'welfare regimes', 'care policies (childcare', 'social policy', 'gender policies']"
Gülsen Betül Aktaş,Faculty of Engineering and Natural Sciences,"['optimization', 'biosensor development', 'dna binding proteins their tags', 'protein engineering']"
Büşra Aktürk,Faculty of Engineering and Natural Sciences,"['alkaliactivated binder systems', 'microstructure', 'durability', 'fiberreinforced cement based materials', 'rheological properties', 'sustainable construction materials', 'concrete technology']"
Kezban Ayça Alangoya,Faculty of Architecture,"['modern city', 'creative analyzing', 'architectural design education', '20th century urban design history', 'urban morphology', 'collective spaces', 'modern architecture']"
Neşenur Altıniğne Ekici,Faculty of Business,"['online retail', 'consumer ethics', 'experimental design', 'corporate social responsibility', 'consumer behavior']"
Emrah Altınok,Faculty of Architecture,"[' methodology', 'design studies', 'planning structures', 'theory', 'criticism', 'architectural', 'urban geography']"
